ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:50:46Z,0.084704,60.0,10588,0.005490822
2025-11-01T23:50:46Z,0.001736,60.0,217,0.001952409
2025-11-01T23:50:46Z,0.032208,60.0,4026,0.006538731
2025-11-01T23:50:46Z,0.059168,60.0,7396,0.008273048
2025-11-01T23:50:46Z,0.02596,60.0,3245,0.002709448
2025-11-01T23:50:46Z,0.411536,60.0,51442,0.027343924
2025-11-01T23:50:46Z,0.017648,60.0,2206,0.001529205
2025-11-01T23:50:46Z,0.0028,60.0,350,0.000320241
2025-11-01T23:50:46Z,0.009064,60.0,1133,0.001705151
2025-11-01T23:50:46Z,0.038872,60.0,4859,0.003452004
2025-11-01T23:50:46Z,0.021768,60.0,2721,0.001754188
2025-11-01T23:50:46Z,0.09356,60.0,11695,0.013263054
2025-11-01T23:50:46Z,0.00924,60.0,1155,0.005068691
2025-11-01T23:50:46Z,0.04616,60.0,5770,0.003181042
2025-11-01T23:50:46Z,0.06008,60.0,7510,0.010330809
2025-11-01T23:50:46Z,0.032912,60.0,4114,0.003588597
2025-11-01T23:50:46Z,0.037072,60.0,4634,0.006693138
2025-11-01T23:50:46Z,0.01148,60.0,1435,0.001121095
2025-11-01T23:50:46Z,0.081168,60.0,10146,0.009029511
2025-11-01T23:50:46Z,0.025872,60.0,3234,0.001960669
2025-11-01T23:50:46Z,0.053272,60.0,6659,0.00369332
2025-11-01T23:50:46Z,0.031312,60.0,3914,0.002364929
2025-11-01T23:50:46Z,0.061368,60.0,7671,0.004288728
2025-11-01T23:50:46Z,0.04712,60.0,5890,0.003493226
2025-11-01T23:50:46Z,0.051264,60.0,6408,0.003422764
2025-11-01T23:50:46Z,0.028424,60.0,3553,0.001908206
2025-11-01T23:50:46Z,0.012232,60.0,1529,0.000948075
2025-11-01T23:50:46Z,0.08148,60.0,10185,0.00712038
2025-11-01T23:50:46Z,0.01188,60.0,1485,0.001071853
2025-11-01T23:50:46Z,0.060032,60.0,7504,0.00397245
2025-11-01T23:50:46Z,0.549728,60.0,68716,0.037222547
2025-11-01T23:50:46Z,0.001808,60.0,226,0.000651205
2025-11-01T23:50:46Z,0.002352,60.0,294,0.000502964
2025-11-01T23:50:46Z,0.010032,60.0,1254,0.000996797
2025-11-01T23:50:46Z,0.024872,60.0,3109,0.00186791
2025-11-01T23:50:46Z,0.03028,60.0,3785,0.002718911
2025-11-01T23:50:46Z,0.039272,60.0,4909,0.003208578
2025-11-01T23:50:46Z,0.02236,60.0,2795,0.001720113
2025-11-01T23:50:46Z,0.04644,60.0,5805,0.008246381
2025-11-01T23:50:46Z,0.009624,60.0,1203,0.000967427
2025-11-01T23:50:46Z,0.085648,60.0,10706,0.008983993
