timestamp,count,mean_ms,p50_ms,p95_ms
2025-11-01T10:40:10.776104368Z,179,6.70200987150838,4.911502,14.943409899999974
2025-11-01T10:40:16.368280904Z,341,7.301626513196481,5.574848,14.487765
2025-11-01T10:40:21.986489599Z,522,19.6975984770115,6.209778999999999,43.04095974999999
2025-11-01T10:40:27.579058845Z,704,26.244611428977272,5.9958919999999996,133.25281960000032
2025-11-01T10:40:33.201902091Z,906,29.070529146799124,5.868161,195.84985375000002
2025-11-01T10:40:38.818203936Z,1068,25.686734598314615,5.861374,128.27217459999974
2025-11-01T10:40:44.392401452Z,1249,28.492970429943963,5.861365,176.87374039999992
2025-11-01T10:40:49.971794963Z,1430,30.387560725174843,5.8544205,223.65259979999928
2025-11-01T10:40:55.566487471Z,1611,31.736530600248294,5.842791,241.4153475
2025-11-01T10:41:01.196460682Z,1792,32.89127842801339,5.8544205,261.31160699999975
2025-11-01T10:41:06.792184379Z,1975,34.215705987341764,5.850902,276.8853113999995
2025-11-01T10:41:12.365800713Z,2156,35.03601790352503,5.8618005,289.14563175
2025-11-01T10:41:17.963621165Z,2337,35.64742267137354,5.917458,292.84113079999923
2025-11-01T10:41:23.582550812Z,2518,36.26116815845908,5.9856514999999995,297.1869727500002
2025-11-01T10:41:29.162771569Z,2700,36.9289708385185,5.999734500000001,304.36962094999757
2025-11-01T10:41:34.732698064Z,2880,37.40835844826387,6.0044474999999995,313.25187629999976
2025-11-01T10:41:40.346601514Z,3082,38.037369941271876,5.9910305,318.4131524999998
