timestamp,duration_s,encrypted_goodput_mbps,frames,fps
2025-11-01T10:40:10.171839457Z,5.033629687,1.4154573226554479,160,31.78620795511054
2025-11-01T10:40:15.199336999Z,5.027497431,1.6951765996834778,163,32.42169732299163
2025-11-01T10:40:20.229146021Z,5.029808948,1.618739813812904,163,32.40679749174441
2025-11-01T10:40:25.255856711Z,5.026711023,1.5836343015495442,163,32.42676956248018
2025-11-01T10:40:30.277474860Z,5.021617704,1.3322256679697257,162,32.26052032414931
2025-11-01T10:40:35.288592581Z,5.011118481,1.6566904238000195,163,32.52766834750081
2025-11-01T10:40:40.320607038Z,5.032014494,1.6381717520545758,163,32.392593501937554
2025-11-01T10:40:45.346697274Z,5.026090107,1.63369932197676,163,32.430775519321585
2025-11-01T10:40:50.376626110Z,5.029929113,1.6262622824760276,163,32.40602329339428
2025-11-01T10:40:55.406738330Z,5.030111627,1.6373139625356468,163,32.40484746403422
2025-11-01T10:41:00.434104103Z,5.02736557,1.4867158347508038,162,32.22363636468155
2025-11-01T10:41:05.471615430Z,5.037511679,1.4714439335000102,163,32.35724508183319
2025-11-01T10:41:10.482465373Z,5.010850202,1.660348975644752,163,32.52940986640175
2025-11-01T10:41:15.498076834Z,5.015611201,1.628363856905742,162,32.29915428207451
2025-11-01T10:41:20.502954443Z,5.004877128,1.6372365975095322,163,32.56823211265058
2025-11-01T10:41:25.506839724Z,5.003885836,1.6258468451597183,162,32.3748393367622
2025-11-01T10:41:30.536984867Z,5.030145384,1.5120994363688953,163,32.40462999707207
2025-11-01T10:41:35.539300931Z,5.002315694,1.589882863558431,162,32.385001249383365
2025-11-01T10:41:40.555294726Z,5.015993647,1.566887152000414,163,32.49605391695186
2025-11-01T10:41:45.585784840Z,5.030490558,1.6978113568700588,163,32.402406508999555
